Entity	Year	Annual COâ‚‚ emissions (per capita)
Argentina	2008	4649266
Armenia	2008	18685873
Aruba	2008	27104464
Asia	2008	35965998
Asia (excl. China and India)	2008	3680645
Australia	2008	190257
Austria	2008	8832387
Azerbaijan	2008	3670847
Bahamas	2008	52817945
Bahrain	2008	2673145
Bangladesh	2008	31151465
Barbados	2008	76342854
Belarus	2008	6419852
Belgium	2008	11202869
Belize	2008	14263479
Benin	2008	44001642
Bermuda	2008	10249032
Bhutan	2008	6120442
Bolivia	2008	13121905
Bonaire Sint Eustatius and Saba	2008	4096207
Bosnia and Herzegovina	2008	5061292
Botswana	2008	22433152
Brazil	2008	21416569
British Virgin Islands	2008	74292054
Brunei	2008	23832714
Bulgaria	2008	70388393
Burkina Faso	2008	11406464
Burundi	2008	25228942
Cambodia	2008	27730528
Cameroon	2008	3898699
Canada	2008	17364056
Cape Verde	2008	9189759
Central African Republic	2008	3690872
Chad	2008	78609675
Chile	2008	42344747
China	2008	5639515
Colombia	2008	15283238
Comoros	2008	17462143
Congo	2008	10441747
Cook Islands	2008	40986886
Costa Rica	2008	17747855
Cote d'Ivoire	2008	3315775
Croatia	2008	53700924
Cuba	2008	24926176
Curacao	2008	3721186
Cyprus	2008	79785
Czechia	2008	11846605
Democratic Republic of Congo	2008	4315783
Denmark	2008	93146715
Djibouti	2008	56439906
Dominica	2008	24499812
Dominican Republic	2008	21350346
East Timor	2008	27335548
Ecuador	2008	2091112
Egypt	2008	23582592
El Salvador	2008	10554718
Equatorial Guinea	2008	5971668
Eritrea	2008	1361898
Estonia	2008	13329997
Eswatini	2008	9379485
Ethiopia	2008	76076545
Europe	2008	8725916
Europe (excl. EU-27)	2008	9377679
Europe (excl. EU-28)	2008	9522779
European Union (27)	2008	8284186
European Union (28)	2008	8351185
Faroe Islands	2008	13010612
Fiji	2008	94347787
Finland	2008	1103276
France	2008	63094783
French Polynesia	2008	2977524
Gabon	2008	3361831
Gambia	2008	19924594
Georgia	2008	13683547
Germany	2008	10500914
Ghana	2008	34219727
Greece	2008	1003108
Greenland	2008	11968251
Grenada	2008	2247313
Guatemala	2008	779227
Guinea	2008	20418428
Guinea-Bissau	2008	15262185
Guyana	2008	22640107
Haiti	2008	18387371
High-income countries	2008	12358597
Honduras	2008	10532146
Hong Kong	2008	6069007
Hungary	2008	5719186
Iceland	2008	12000479
India	2008	12342707
Indonesia	2008	15370413
Iran	2008	712723
Iraq	2008	32150376
Ireland	2008	10637611
Israel	2008	9609144
Italy	2008	8089209
Jamaica	2008	39757035
Japan	2008	9619277
Jordan	2008	31235294
Kazakhstan	2008	1400492
Kenya	2008	26112753
Kiribati	2008	4580837
Kosovo	2008	408239
Kuwait	2008	31792885
Kyrgyzstan	2008	13994935
Laos	2008	347358
Latvia	2008	3812731
Lebanon	2008	35636551
Lesotho	2008	10652145
Liberia	2008	14027779
Libya	2008	8590007
Liechtenstein	2008	61972055
Lithuania	2008	4626852
Low-income countries	2008	43382382
Lower-middle-income countries	2008	13650744
Luxembourg	2008	2286432
Macao	2008	21400251
Madagascar	2008	8676968
Malawi	2008	7188011
Malaysia	2008	69709706
Maldives	2008	25014694
Mali	2008	13446221
Malta	2008	650795
Marshall Islands	2008	23821821
Mauritania	2008	5673498
Mauritius	2008	29525895
Mexico	2008	4313347
Micronesia (country)	2008	10110562
Moldova	2008	13614397
Mongolia	2008	45247765
Montenegro	2008	4125427
Montserrat	2008	98494625
Morocco	2008	16238055
Mozambique	2008	9978832
Myanmar	2008	20053685
Namibia	2008	13264447
Nauru	2008	42824583
Nepal	2008	124687344
Netherlands	2008	10674526
New Caledonia	2008	11253053
New Zealand	2008	88043
Nicaragua	2008	76752645
Niger	2008	512544
Nigeria	2008	57272756
Niue	2008	3967515
North America	2008	13537301
North America (excl. USA)	2008	550638
North Korea	2008	28742223
North Macedonia	2008	42835665
Norway	2008	9368472
Oceania	2008	12778498
Oman	2008	17797367
Pakistan	2008	82783884
Palau	2008	1073082
Palestine	2008	538707
Panama	2008	2098426
Papua New Guinea	2008	7767698
Paraguay	2008	7578098
Peru	2008	12253836
Philippines	2008	8474372
Poland	2008	8555099
Portugal	2008	56732016
Qatar	2008	42676384
Romania	2008	52382283
Russia	2008	11545911
Rwanda	2008	53958192
Saint Helena	2008	208103
Saint Kitts and Nevis	2008	45819416
Saint Lucia	2008	25211408
Saint Pierre and Miquelon	2008	10838455
Saint Vincent and the Grenadines	2008	19925135
Samoa	2008	84058166
Sao Tome and Principe	2008	48426896
Saudi Arabia	2008	16049057
Senegal	2008	39925224
Serbia	2008	6704585
Seychelles	2008	46178007
Sierra Leone	2008	8301486
Singapore	2008	9652978
Sint Maarten (Dutch part)	2008	19613684
Slovakia	2008	76861877
Slovenia	2008	8986297
Solomon Islands	2008	59645355
Somalia	2008	52503522
South Africa	2008	9792601
South America	2008	25664637
South Korea	2008	11005492
South Sudan	2008	14042607
Spain	2008	73072114
Sri Lanka	2008	590925
Sudan	2008	4409021
Suriname	2008	36175818
Sweden	2008	5511467
Switzerland	2008	58528533
Syria	2008	31552315
Taiwan	2008	11591888
Tajikistan	2008	3953809
Tanzania	2008	13788553
Thailand	2008	33306782
Togo	2008	2447216
Tonga	2008	11305999
Trinidad and Tobago	2008	3192445
Tunisia	2008	23913746
Turkey	2008	43552856
Turkmenistan	2008	11654388
Turks and Caicos Islands	2008	9610492
Tuvalu	2008	10678065
Uganda	2008	9110541
Ukraine	2008	7076913
United Arab Emirates	2008	21990328
United Kingdom	2008	8825938
United States	2008	19349745
Upper-middle-income countries	2008	50319605
Uruguay	2008	24584253
Uzbekistan	2008	46304727
Vanuatu	2008	40716854
Venezuela	2008	55669107
Vietnam	2008	1335355
Wallis and Futuna	2008	1605609
World	2008	4704022
Yemen	2008	10462124
Zambia	2008	19863334
Zimbabwe	2008	61512965
Afghanistan	2007	108090796
Africa	2007	11514653
Albania	2007	13268992
Algeria	2007	32335796
Andorra	2007	68887157
Angola	2007	841138
Anguilla	2007	992954
Antigua and Barbuda	2007	6520924
Argentina	2007	43505254
Armenia	2007	16975813
Aruba	2007	29146358
Asia	2007	34574094
Asia (excl. China and India)	2007	36532035
Australia	2007	19186764
Austria	2007	8935539
Azerbaijan	2007	33831275
Bahamas	2007	52346077
Bahrain	2007	25727983
Bangladesh	2007	2958466
Barbados	2007	6638993
Belarus	2007	6128455
Belgium	2007	11307179
Belize	2007	16027888
Benin	2007	45456392
Bermuda	2007	11540431
Bhutan	2007	57733005
Bolivia	2007	13072987
Bonaire Sint Eustatius and Saba	2007	44233847
Bosnia and Herzegovina	2007	43599973
Botswana	2007	21496181
Brazil	2007	20472486
British Virgin Islands	2007	74108267
Brunei	2007	21323994
Bulgaria	2007	7213819
Burkina Faso	2007	1077991
Burundi	2007	25365615
Cambodia	2007	25309464
Cameroon	2007	4059515
Canada	2007	1806789
Cape Verde	2007	10017632
Central African Republic	2007	5275458
Chad	2007	10155568
Chile	2007	4272453
China	2007	528453
Colombia	2007	13968195
Comoros	2007	17224157
Congo	2007	10765795
Cook Islands	2007	4245928
Costa Rica	2007	17929502
Cote d'Ivoire	2007	3357236
Croatia	2007	5642829
Cuba	2007	23251517
Curacao	2007	3931402
Cyprus	2007	79185147
Czechia	2007	12418669
Democratic Republic of Congo	2007	43527436
Denmark	2007	9983965
Djibouti	2007	533591
Dominica	2007	25034235
Dominican Republic	2007	21264076
East Timor	2007	28259346
Ecuador	2007	24052465
Egypt	2007	22963743
El Salvador	2007	11325997
Equatorial Guinea	2007	60327177
Eritrea	2007	19252422
Estonia	2007	14875755
Eswatini	2007	9599277
Ethiopia	2007	712179
Europe	2007	885035
Europe (excl. EU-27)	2007	935078
Europe (excl. EU-28)	2007	9407211
European Union (27)	2007	8509972
European Union (28)	2007	8586911
Faroe Islands	2007	14237066
Fiji	2007	12803499
Finland	2007	12623155
France	2007	64601693
French Polynesia	2007	29239507
Gabon	2007	3250561
Gambia	2007	19722487
Georgia	2007	16284976
Germany	2007	10472896
Ghana	2007	37884894
Greece	2007	10327349
Greenland	2007	11524961
Grenada	2007	21313765
Guatemala	2007	8867092
Guinea	2007	20609093
Guinea-Bissau	2007	15913148
Guyana	2007	23537846
Haiti	2007	18813679
High-income countries	2007	12718096
Honduras	2007	10368425
Hong Kong	2007	6223343
Hungary	2007	58390946
Iceland	2007	112074175
India	2007	11704763
Indonesia	2007	16514556
Iran	2007	6949245
Iraq	2007	21313426
Ireland	2007	109325285
Israel	2007	9033349
Italy	2007	83475
Jamaica	2007	39793956
Japan	2007	10177901
Jordan	2007	33114436
Kazakhstan	2007	14166108
Kenya	2007	25826654
Kiribati	2007	46692088
Kosovo	2007	9177478
Kuwait	2007	3077994
Kyrgyzstan	2007	12318337
Laos	2007	3038032
Latvia	2007	39698648
Lebanon	2007	28580472
Lesotho	2007	1045553
Liberia	2007	17207937
Libya	2007	8462163
Liechtenstein	2007	57076178
Lithuania	2007	4728938
Low-income countries	2007	421644
Lower-middle-income countries	2007	13283023
Luxembourg	2007	23562086
Macao	2007	2644892
Madagascar	2007	8707766
Malawi	2007	6813179
Malaysia	2007	6475966
Maldives	2007	24003322
Mali	2007	12698264
Malta	2007	66282425
Marshall Islands	2007	230436
Mauritania	2007	5573462
Mauritius	2007	29009995
Mexico	2007	43742833
Micronesia (country)	2007	1204086
Moldova	2007	1284176
Mongolia	2007	45891986
Montenegro	2007	32527351
Montserrat	2007	840893
Morocco	2007	15660772
Mozambique	2007	10285769
Myanmar	2007	26506275
Namibia	2007	11257076
Nauru	2007	42733016
Nepal	2007	9621826
Netherlands	2007	10538973
New Caledonia	2007	11736352
New Zealand	2007	8624869
Nicaragua	2007	8115407
Niger	2007	47627322
Nigeria	2007	55255455
Niue	2007	1984832
North America	2007	14132756
North America (excl. USA)	2007	5658849
North Korea	2007	2606205
North Macedonia	2007	43261175
Norway	2007	967984
Oceania	2007	1291627
Oman	2007	17296038
Pakistan	2007	8542126
Palau	2007	13043181
Palestine	2007	62481165
Panama	2007	21417375
Papua New Guinea	2007	95087785
Paraguay	2007	7229794
Peru	2007	11994934
Philippines	2007	7904736
Poland	2007	8720246
Portugal	2007	59016933
Qatar	2007	48204277
Romania	2007	5255419
Russia	2007	11345777
Rwanda	2007	56932367
Saint Helena	2007	20591981
Saint Kitts and Nevis	2007	45957737
Saint Lucia	2007	25370932
Saint Pierre and Miquelon	2007	10829556
Saint Vincent and the Grenadines	2007	21157024
Samoa	2007	94249564
Sao Tome and Principe	2007	49612916
Saudi Arabia	2007	149281
Senegal	2007	4204931
Serbia	2007	7676334
Seychelles	2007	4562424
Sierra Leone	2007	8205054
Singapore	2007	6600801
Sint Maarten (Dutch part)	2007	20593836
Slovakia	2007	76178136
Slovenia	2007	8571869
Solomon Islands	2007	59538984
Somalia	2007	5470579
South Africa	2007	9301619
South America	2007	24787736
South Korea	2007	10819209
South Sudan	2007	13937071
Spain	2007	8120073
Sri Lanka	2007	60521543
Sudan	2007	43360785
Suriname	2007	33267496
Sweden	2007	5782688
Switzerland	2007	57495914
Syria	2007	32198396
Taiwan	2007	12195806
Tajikistan	2007	44893125
Tanzania	2007	13678391
Thailand	2007	33531868
Togo	2007	25080484
Tonga	2007	10650064
Trinidad and Tobago	2007	32914562
Tunisia	2007	2324207
Turkey	2007	4451517
Turkmenistan	2007	97878475
Turks and Caicos Islands	2007	96157
Tuvalu	2007	10810386
Uganda	2007	9146162
Ukraine	2007	72726684
United Arab Emirates	2007	22668598
United Kingdom	2007	9134187
United States	2007	20248577
Upper-middle-income countries	2007	4813061
Uruguay	2007	17867624
Uzbekistan	2007	45339613
Vanuatu	2007	4332126
Venezuela	2007	5593518
Vietnam	2007	11966354
Wallis and Futuna	2007	209596
World	2007	4683315
Yemen	2007	10410358
Zambia	2007	18498948
Zimbabwe	2007	78993684
Afghanistan	2006	8486903
Africa	2006	11492242
Albania	2006	13020998
Algeria	2006	31672175
Andorra	2006	6803704
Angola	2006	8503398
Anguilla	2006	9792824
Antigua and Barbuda	2006	6385247
Argentina	2006	44129634
Armenia	2006	14543548
Aruba	2006	28393595
Asia	2006	33247905
Asia (excl. China and India)	2006	36340404
Australia	2006	19174072
Austria	2006	9291188
Azerbaijan	2006	393934
Bahamas	2006	5256964
Bahrain	2006	20001472
Bangladesh	2006	2922913
Barbados	2006	65640373
Belarus	2006	6252705
Belgium	2006	11704935
Belize	2006	15354171
Benin	2006	39881608
Bermuda	2006	10336503
Bhutan	2006	5844732
Bolivia	2006	12923365
Bonaire Sint Eustatius and Saba	2006	40859537
Bosnia and Herzegovina	2006	42844877
Botswana	2006	21428742
Brazil	2006	19535519
British Virgin Islands	2006	7374959
Brunei	2006	19161533
Bulgaria	2006	66747828
Burkina Faso	2006	95005974
Burundi	2006	2392209
Cambodia	2006	22237726
Cameroon	2006	30904257
Canada	2006	17477772
Cape Verde	2006	9914712
Central African Republic	2006	5289925
Chad	2006	927056
Chile	2006	39212475
China	2006	49458566
Colombia	2006	14566313
Comoros	2006	27268037
Congo	2006	12550402
Cook Islands	2006	4331823
Costa Rica	2006	16003773
Cote d'Ivoire	2006	35512096
Croatia	2006	5330262
Cuba	2006	23815851
Curacao	2006	35496902
Cyprus	2006	7755031
Czechia	2006	12281157
Democratic Republic of Congo	2006	40296026
Denmark	2006	10901747
Djibouti	2006	48884654
Dominica	2006	20781548
Dominican Republic	2006	20585506
East Timor	2006	31843615
Ecuador	2006	21193247
Egypt	2006	22224348
El Salvador	2006	11132455
Equatorial Guinea	2006	68273363
Eritrea	2006	19060002
Estonia	2006	12211169
Eswatini	2006	9417127
Ethiopia	2006	6673493
Europe	2006	8927101
Europe (excl. EU-27)	2006	9366289
Europe (excl. EU-28)	2006	9373328
European Union (27)	2006	8627043
European Union (28)	2006	8714523
Faroe Islands	2006	14022922
Fiji	2006	136187
Finland	2006	12982865
France	2006	66696563
French Polynesia	2006	29854934
Gabon	2006	3688777
Gambia	2006	20340128
Georgia	2006	15488702
Germany	2006	10809575
Ghana	2006	36899152
Greece	2006	10122328
Greenland	2006	1166262
Grenada	2006	20794551
Guatemala	2006	9078579
Guinea	2006	2026255
Guinea-Bissau	2006	15287244
Guyana	2006	19905272
Haiti	2006	1890769
High-income countries	2006	12736941
Honduras	2006	99393225
Hong Kong	2006	60217233
Hungary	2006	59370995
Iceland	2006	10378133
India	2006	1102451
Indonesia	2006	14954154
Iran	2006	69598756
Iraq	2006	3409857
Ireland	2006	11241227
Israel	2006	9096636
Italy	2006	8504796
Jamaica	2006	43043427
Japan	2006	9906935
Jordan	2006	33785238
Kazakhstan	2006	139403515
Kenya	2006	2590514
Kiribati	2006	47586793
Kosovo	2006	8845218
Kuwait	2006	3217678
Kyrgyzstan	2006	10407573
Laos	2006	29551944
Latvia	2006	3770957
Lebanon	2006	31340616
Lesotho	2006	10305531
Liberia	2006	19469063
Libya	2006	9332119
Liechtenstein	2006	6619723
Lithuania	2006	4272059
Low-income countries	2006	42315614
Lower-middle-income countries	2006	12911185
Luxembourg	2006	25213663
Macao	2006	32269073
Madagascar	2006	86547025
Malawi	2006	64641185
Malaysia	2006	64190946
Maldives	2006	23656678
Mali	2006	112688474
Malta	2006	6487009
Marshall Islands	2006	22298613
Mauritania	2006	5030715
Mauritius	2006	28679838
Mexico	2006	4441561
Micronesia (country)	2006	10296147
Moldova	2006	12756958
Mongolia	2006	359562
Montenegro	2006	32611318
Montserrat	2006	8474348
Morocco	2006	14999961
Mozambique	2006	9238151
Myanmar	2006	26645693
Namibia	2006	11767188
Nauru	2006	4261291
Nepal	2006	9263062
Netherlands	2006	105962715
New Caledonia	2006	11018421
New Zealand	2006	8930537
Nicaragua	2006	79895604
Niger	2006	467173
Nigeria	2006	6232266
Niue	2006	19730748
North America	2006	14083263
North America (excl. USA)	2006	55957155
North Korea	2006	31428845
North Macedonia	2006	41568317
Norway	2006	94059725
Oceania	2006	12925481
Oman	2006	156861925
Pakistan	2006	80614775
Palau	2006	11563655
Palestine	2006	6241889
Panama	2006	22335958
Papua New Guinea	2006	7529488
Paraguay	2006	706218
Peru	2006	9935238
Philippines	2006	7571367
Poland	2006	8731447
Portugal	2006	6149769
Qatar	2006	58745068
Romania	2006	4987996
Russia	2006	11322848
Rwanda	2006	55492226
Saint Helena	2006	2017621
Saint Kitts and Nevis	2006	42968016
Saint Lucia	2006	2465028
Saint Pierre and Miquelon	2006	10802948
Saint Vincent and the Grenadines	2006	19397899
Samoa	2006	909306
Sao Tome and Principe	2006	5084621
Saudi Arabia	2006	17299736
Senegal	2006	39263403
Serbia	2006	78049955
Seychelles	2006	4416485
Sierra Leone	2006	9964443
Singapore	2006	9429944
Sint Maarten (Dutch part)	2006	18478765
Slovakia	2006	79155583
Slovenia	2006	8531263
Solomon Islands	2006	5866107
Somalia	2006	52318696
South Africa	2006	9027159
South America	2006	24138668
South Korea	2006	10478356
South Sudan	2006	12437462
Spain	2006	809614
Sri Lanka	2006	5934636
Sudan	2006	37950256
Suriname	2006	33303514
Sweden	2006	59022193
Switzerland	2006	6069247
Syria	2006	27616153
Taiwan	2006	12072539
Tajikistan	2006	37622333
Tanzania	2006	1448704
Thailand	2006	32543156
Togo	2006	25543815
Tonga	2006	12075102
Trinidad and Tobago	2006	31030617
Tunisia	2006	21910446
Turkey	2006	40569386
Turkmenistan	2006	9991779
Turks and Caicos Islands	2006	8594784
Tuvalu	2006	10932962
Uganda	2006	82833454
Ukraine	2006	7148388
United Arab Emirates	2006	24843065
United Kingdom	2006	9338998
United States	2006	20192238
Upper-middle-income countries	2006	46195
Uruguay	2006	19857119
Uzbekistan	2006	4638518
Vanuatu	2006	21365964
Venezuela	2006	57411427
Vietnam	2006	11870176
Wallis and Futuna	2006	205223
World	2006	46083193
Yemen	2006	1083066
Zambia	2006	18636802
Zimbabwe	2006	8406366
Afghanistan	2005	7740329
Africa	2005	11474754
Albania	2005	14051845
Algeria	2005	33678296
Andorra	2005	7204559
Angola	2005	791057
Anguilla	2005	9047658
Antigua and Barbuda	2005	60088882
Argentina	2005	4125598
Armenia	2005	14361025
Aruba	2005	28770708
Asia	2005	3148226
Asia (excl. China and India)	2005	35925777
Australia	2005	1914587
Austria	2005	9614327
Azerbaijan	2005	39501617
Bahamas	2005	54778547
Bahrain	2005	21957464
Bangladesh	2005	26737556
Barbados	2005	65401406
Belarus	2005	59697328
Belgium	2005	11945248
Belize	2005	15027854
Benin	2005	30551007
Bermuda	2005	92501745
Bhutan	2005	59677505
Bolivia	2005	13130103
Bonaire Sint Eustatius and Saba	2005	40796514
Bosnia and Herzegovina	2005	3919106
Botswana	2005	21622183
Brazil	2005	1950622
British Virgin Islands	2005	7009608
Brunei	2005	14802576
Bulgaria	2005	6474312
Burkina Faso	2005	8086402
Burundi	2005	20827003
Cambodia	2005	20938584
Cameroon	2005	31396836
Canada	2005	17840984
Cape Verde	2005	90700245
Central African Republic	2005	5136231
Chad	2005	9252382
Chile	2005	37790606
China	2005	45077777
Colombia	2005	14249232
Comoros	2005	24109696
Congo	2005	1184948
Cook Islands	2005	410654
Costa Rica	2005	15578239
Cote d'Ivoire	2005	39874902
Croatia	2005	52690024
Cuba	2005	23307447
Curacao	2005	34613716
Cyprus	2005	7672888
Czechia	2005	12226581
Democratic Republic of Congo	2005	4046598
Denmark	2005	9479754
Djibouti	2005	4983156
Dominica	2005	21871123
Dominican Republic	2005	19575529
East Timor	2005	33131027
Ecuador	2005	2221465
Egypt	2005	2127299
El Salvador	2005	10430437
Equatorial Guinea	2005	71790586
Eritrea	2005	27154836
Estonia	2005	12620692
Eswatini	2005	94685394
Ethiopia	2005	63974865
Europe	2005	8800663
Europe (excl. EU-27)	2005	9044895
Europe (excl. EU-28)	2005	8942748
European Union (27)	2005	8632974
European Union (28)	2005	8732459
Faroe Islands	2005	14939626
Fiji	2005	12370238
Finland	2005	10874235
France	2005	6877385
French Polynesia	2005	30548089
Gabon	2005	4267172
Gambia	2005	19419204
Georgia	2005	12657642
Germany	2005	10656909
Ghana	2005	2717289
Greece	2005	10247849
Greenland	2005	11309283
Grenada	2005	196046
Guatemala	2005	9220619
Guinea	2005	19963343
Guinea-Bissau	2005	15402612
Guyana	2005	21317103
Haiti	2005	1892403
High-income countries	2005	12833496
Honduras	2005	90353006
Hong Kong	2005	6304073
Hungary	2005	59959826
Iceland	2005	10027289
India	2005	1026879
Indonesia	2005	1519271
Iran	2005	65828686
Iraq	2005	39729936
Ireland	2005	11684938
Israel	2005	8418698
Italy	2005	8631403
Jamaica	2005	3891316
Japan	2005	10095157
Jordan	2005	3598951
Kazakhstan	2005	12777128
Kenya	2005	2386781
Kiribati	2005	4851448
Kosovo	2005	8903188
Kuwait	2005	3329432
Kyrgyzstan	2005	10627677
Laos	2005	22843313
Latvia	2005	34980397
Lebanon	2005	35860443
Lesotho	2005	10172486
Liberia	2005	19917546
Libya	2005	10392014
Liechtenstein	2005	6612932
Lithuania	2005	41092343
Low-income countries	2005	4166623
Lower-middle-income countries	2005	12413903
Luxembourg	2005	25984957
Macao	2005	3741775
Madagascar	2005	9264921
Malawi	2005	6655742
Malaysia	2005	6556486
Maldives	2005	19571693
Mali	2005	11036014
Malta	2005	6476226
Marshall Islands	2005	20896313
Mauritania	2005	47714636
Mauritius	2005	2618287
Mexico	2005	439713
Micronesia (country)	2005	10566976
Moldova	2005	12339612
Mongolia	2005	33271775
Montenegro	2005	27664363
Montserrat	2005	8544414
Morocco	2005	14675645
Mozambique	2005	87560594
Myanmar	2005	24211918
Namibia	2005	11778566
Nauru	2005	6025733
Nepal	2005	113629796
Netherlands	2005	10937212
New Caledonia	2005	11603278
New Zealand	2005	9055258
Nicaragua	2005	782834
Niger	2005	4988638
Nigeria	2005	72228426
Niue	2005	19479
North America	2005	14365811
North America (excl. USA)	2005	5596805
North Korea	2005	31123304
North Macedonia	2005	41352196
Norway	2005	9356811
Oceania	2005	12965511
Oman	2005	12562283
Pakistan	2005	77244186
Palau	2005	11073389
Palestine	2005	7739392
Panama	2005	21087725
Papua New Guinea	2005	7663174
Paraguay	2005	69015396
Peru	2005	10772312
Philippines	2005	849781
Poland	2005	836701
Portugal	2005	66171756
Qatar	2005	56026558
Romania	2005	4828171
Russia	2005	10866317
Rwanda	2005	569691
Saint Helena	2005	19780457
Saint Kitts and Nevis	2005	4232033
Saint Lucia	2005	23482351
Saint Pierre and Miquelon	2005	10152893
Saint Vincent and the Grenadines	2005	19618762
Samoa	2005	89349747
Sao Tome and Principe	2005	475853
Saudi Arabia	2005	16511742
Senegal	2005	5047281
Serbia	2005	65936
Seychelles	2005	44356804
Sierra Leone	2005	7478422
Singapore	2005	9571876
Sint Maarten (Dutch part)	2005	1790777
Slovakia	2005	79606605
Slovenia	2005	8446007
Solomon Islands	2005	5847261
Somalia	2005	5390658
South Africa	2005	849093
South America	2005	23666465
South Korea	2005	10413295
South Sudan	2005	11902043
Spain	2005	8431613
Sri Lanka	2005	60665375
Sudan	2005	3563842
Suriname	2005	30771675
Sweden	2005	5951932
Switzerland	2005	61625733
Syria	2005	2730965
Taiwan	2005	11688732
Tajikistan	2005	35206136
Tanzania	2005	13579828
Thailand	2005	32561638
Togo	2005	30141982
Tonga	2005	10751581
Trinidad and Tobago	2005	27921558
Tunisia	2005	2170604
Turkey	2005	38552034
Turkmenistan	2005	9809829
Turks and Caicos Islands	2005	7932387
Tuvalu	2005	11066144
Uganda	2005	7220706
Ukraine	2005	66832886
United Arab Emirates	2005	26722624
United Kingdom	2005	94452305
United States	2005	20658026
Upper-middle-income countries	2005	4345639
Uruguay	2005	17261138
Uzbekistan	2005	45759945
Vanuatu	2005	26935977
Venezuela	2005	55612063
Vietnam	2005	11527941
Wallis and Futuna	2005	20112529
World	2005	45122457
Yemen	2005	10159883
Zambia	2005	19390985
Zimbabwe	2005	87514937
Afghanistan	2004	525291
Africa	2004	1156532
Albania	2004	13637577
Algeria	2004	28210921
Andorra	2004	7285146
Angola	2004	9064819
Anguilla	2004	8580079
Antigua and Barbuda	2004	570796
Argentina	2004	40526843
Armenia	2004	12040119
Aruba	2004	27963486
Asia	2004	29711335
Asia (excl. China and India)	2004	35628371
Australia	2004	19215673
Austria	2004	9508893
Azerbaijan	2004	3769566
Bahamas	2004	59696703
Bahrain	2004	21457098
Bangladesh	2004	25899187
Barbados	2004	640634
Belarus	2004	58255205
Belgium	2004	12315304
Belize	2004	14406061
Benin	2004	3285301
Bermuda	2004	9282748
Bhutan	2004	47371596
Bolivia	2004	11970049
Bonaire Sint Eustatius and Saba	2004	42882557
Bosnia and Herzegovina	2004	37323158
Botswana	2004	2095024
Brazil	2004	19566369
British Virgin Islands	2004	67672825
Brunei	2004	15647754
Bulgaria	2004	62967324
Burkina Faso	2004	81819616
Burundi	2004	27786804
Cambodia	2004	18775485
Cameroon	2004	33900395
Canada	2004	18165436
Cape Verde	2004	8734728
Central African Republic	2004	53422164
Chad	2004	9388154
Chile	2004	36976247
China	2004	40231986
Colombia	2004	13121018
Comoros	2004	25218484
Congo	2004	10015775
Cook Islands	2004	3631318
Costa Rica	2004	16087456
Cote d'Ivoire	2004	3982907
Croatia	2004	51503606
Cuba	2004	22468212
Curacao	2004	35449493
Cyprus	2004	76458445
Czechia	2004	12502834
Democratic Republic of Congo	2004	36999773
Denmark	2004	10174345
Djibouti	2004	49696228
Dominica	2004	20833054
Dominican Republic	2004	19167238
East Timor	2004	52537173
Ecuador	2004	21617272
Egypt	2004	19681492
El Salvador	2004	10361451
Equatorial Guinea	2004	7426937
Eritrea	2004	2783153
Estonia	2004	12717503
Eswatini	2004	93853873
Ethiopia	2004	6850572
Europe	2004	8820896
Europe (excl. EU-27)	2004	8986549
Europe (excl. EU-28)	2004	8842358
European Union (27)	2004	8706524
European Union (28)	2004	881051
Faroe Islands	2004	15569406
Fiji	2004	15471554
Finland	2004	13186135
France	2004	68819523
French Polynesia	2004	28803413
Gabon	2004	4506578
Gambia	2004	19771783
Georgia	2004	10709428
Germany	2004	10897857
Ghana	2004	29446253
Greece	2004	9850148
Greenland	2004	11241422
Grenada	2004	18733304
Guatemala	2004	8698981
Guinea	2004	19667168
Guinea-Bissau	2004	1496052
Guyana	2004	25344465
Haiti	2004	18434368
High-income countries	2004	12884651
Honduras	2004	97436833
Hong Kong	2004	6010616
Hungary	2004	5968768
Iceland	2004	10636717
India	2004	9901711
Indonesia	2004	15182068
Iran	2004	63375072
Iraq	2004	4049078
Ireland	2004	11450207
Israel	2004	8896198
Italy	2004	8669648
Jamaica	2004	39692626
Japan	2004	10046784
Jordan	2004	33747752
Kazakhstan	2004	12005967
Kenya	2004	21814778
Kiribati	2004	41879073
Kosovo	2004	89617334
Kuwait	2004	30476484
Kyrgyzstan	2004	11306427
Laos	2004	22233811
Latvia	2004	34160802
Lebanon	2004	3761567
Lesotho	2004	99840736
Liberia	2004	17501396
Libya	2004	9995564
Liechtenstein	2004	66827188
Lithuania	2004	3872552
Low-income countries	2004	4172987
Lower-middle-income countries	2004	12040417
Luxembourg	2004	25822998
Macao	2004	3605935
Madagascar	2004	9886572
Malawi	2004	7264951
Malaysia	2004	66978498
Maldives	2004	22070682
Mali	2004	11033378
Malta	2004	69692297
Marshall Islands	2004	2153236
Mauritania	2004	47003326
Mauritius	2004	24702349
Mexico	2004	42214255
Micronesia (country)	2004	12821879
Moldova	2004	1139962
Mongolia	2004	33495865
Montenegro	2004	32270617
Montserrat	2004	1017343
Morocco	2004	14059662
Mozambique	2004	9464476
Myanmar	2004	2654394
Namibia	2004	10164107
Nauru	2004	6368482
Nepal	2004	993083
Netherlands	2004	11223762
New Caledonia	2004	10537816
New Zealand	2004	878021
Nicaragua	2004	8127845
Niger	2004	59237044
Nigeria	2004	6934713
Niue	2004	19143156
North America	2004	144324
North America (excl. USA)	2004	55349746
